region,year,sector,value,country
,2010,Agriculture,"2611000000,00",CRI
,2017,Agriculture,"2855000000,00",CRI
,2010,Industry,"8579000000,00",CRI
,2017,Industry,"10849000000,00",CRI
,2010,Manufacturing,"5222000000,00",CRI
,2017,Manufacturing,"6852000000,00",CRI
,2010,Services(value added),"23051400000,00",CRI
,2017,Services(value added),"38999300000,00",CRI
,2010,GDP,"24900000000,00",CIV
,2017,GDP,"40400000000,00",CIV
,2010,Agriculture,"6225000000,00",CIV
,2017,Agriculture,"8080000000,00",CIV
,2010,Industry,"5478000000,00",CIV
,2017,Industry,"10908000000,00",CIV
,2010,Manufacturing,"3237000000,00",CIV
,2017,Manufacturing,"5252000000,00",CIV
,2010,Services(value added),"13221900000,00",CIV
,2017,Services(value added),"16806400000,00",CIV
,2010,GDP,"59800000000,00",HRV
,2017,GDP,"54800000000,00",HRV
,2010,Agriculture,"2392000000,00",HRV
,2017,Agriculture,"1644000000,00",HRV
,2010,Industry,"13754000000,00",HRV
,2017,Industry,"12056000000,00",HRV
,2010,Manufacturing,"7176000000,00",HRV
,2017,Manufacturing,"7124000000,00",HRV
,2010,Services(value added),"35102600000,00",HRV
,2017,Services(value added),"32058000000,00",HRV
,2010,GDP,"64300000000,00",CUB
,2017,GDP,"87100000000,00",CUB
,2010,Agriculture,"2572000000,00",CUB
,2017,Agriculture,"3484000000,00",CUB
,2010,Industry,"14789000000,00",CUB
,2017,Industry,"19162000000,00",CUB
,2010,Manufacturing,"9645000000,00",CUB
,2017,Manufacturing,"12194000000,00",CUB
,2010,Services(value added),"0,00",CUB
,2017,Services(value added),"0,00",CUB
,2017,GDP,"0,00",CUW
,2010,Agriculture,"0,00",CUW
,2017,Agriculture,"0,00",CUW
,2010,Industry,"0,00",CUW
,2017,Industry,"0,00",CUW
,2010,Manufacturing,"0,00",CUW
,2017,Manufacturing,"0,00",CUW
,2010,Services(value added),"0,00",CUW
,2017,Services(value added),"0,00",CUW
,2010,GDP,"25600000000,00",CYP
,2017,GDP,"21700000000,00",CYP
,2010,Agriculture,"512000000,00",CYP
,2017,Agriculture,"434000000,00",CYP
,2010,Industry,"3840000000,00",CYP
,2017,Industry,"2170000000,00",CYP
,2010,Manufacturing,"1280000000,00",CYP
,2017,Manufacturing,"868000000,00",CYP
,2010,Services(value added),"18252800000,00",CYP
,2017,Services(value added),"16426900000,00",CYP
,2010,GDP,"207500000000,00",CZE
,2017,GDP,"215700000000,00",CZE
,2010,Agriculture,"4150000000,00",CZE
,2017,Agriculture,"4314000000,00",CZE
,2010,Industry,"68475000000,00",CZE
,2017,Industry,"71181000000,00",CZE
,2010,Manufacturing,"43575000000,00",CZE
,2017,Manufacturing,"51768000000,00",CZE
,2010,Services(value added),"115370000000,00",CZE
,2017,Services(value added),"116909400000,00",CZE
,2010,GDP,"322000000000,00",DNK
,2017,GDP,"324900000000,00",DNK
,2010,Agriculture,"3220000000,00",DNK
,2017,Agriculture,"3249000000,00",DNK
,2010,Industry,"64400000000,00",DNK
,2017,Industry,"64980000000,00",DNK
,2010,Manufacturing,"35420000000,00",DNK
,2017,Manufacturing,"42237000000,00",DNK
,2010,Services(value added),"210588000000,00",DNK
,2017,Services(value added),"214109100000,00",DNK
,2010,GDP,"1100000000,00",DJI
,2017,GDP,"1800000000,00",DJI
,2010,Agriculture,"0,00",DJI
,2017,Agriculture,"36000000,00",DJI
,2010,Industry,"0,00",DJI
,2017,Industry,"288000000,00",DJI
,2010,Manufacturing,"0,00",DJI
,2017,Manufacturing,"72000000,00",DJI
,2010,Services(value added),"0,00",DJI
,2017,Services(value added),"1294200000,00",DJI
