country,description,iso
Kuwait,"oil and refined products, fertilizers",KWT
Kyrgyzstan,"gold, cotton, wool, garments, meat, tobacco; mercury, uranium, electricity; machinery; shoes",KGZ
Laos,"wood products, coffee, electricity, tin, copper, gold, cassava",LAO
Latvia,"food products, wood and wood products, metals, machinery and equipment, textiles",LVA
Lebanon,"jewelry, base metals, chemicals, miscellaneous consumer goods, fruit and vegetables, tobacco, construction minerals, electric power machinery and switchgear, textile fibers, paper",LBN
Lesotho,"manufactures (clothing, footwear), wool and mohair, food and live animals, electricity, water, diamonds",LSO
Liberia,"rubber, timber, iron, diamonds, cocoa, coffee",LBR
Libya,"crude oil, refined petroleum products, natural gas, chemicals",LBY
Liechtenstein,"small specialty machinery, connectors for audio and video, parts for motor vehicles, dental products, hardware, prepared foodstuffs, electronic equipment, optical products",LIE
Lithuania,"mineral products, machinery and equipment, chemicals, textiles , foodstuffs, plastics",LTU
Luxembourg,"machinery and equipment, steel products, chemicals, rubber products, glass",LUX
Macau,"clothing, textiles, footwear, toys, electronics, machinery and parts",
Madagascar,"coffee, vanilla, shellfish, sugar, cotton cloth, clothing, chromite, petroleum products",MDG
Malawi,"tobacco 53%, tea, sugar, cotton, coffee, peanuts, wood products, apparel",MWI
Malaysia,"semiconductors and electronic equipment, palm oil, petroleum and liquefied natural gas, wood and wood products, palm oil, rubber, textiles, chemicals, solar panels",MYS
Maldives,fish,
Mali,"cotton, gold, livestock",MLI
Malta,"machinery and mechanical appliances; mineral fuels, oils and products; pharmaceutical products; printed books and newspapers; aircraft/spacecraft and parts; toys, games, and sports equipment",MLT
Marshall Islands,"copra cake, coconut oil, handicrafts, fish",
Mauritania,"iron ore, fish and fish products, gold, copper, petroleum",MRT
Mauritius,"clothing and textiles, sugar, cut flowers, molasses, fish",MUS
Mayotte,"ylang-ylang (perfume essence), vanilla, copra, coconuts, coffee, cinnamon",MYT
Mexico,"manufactured goods, oil and oil products, silver, fruits, vegetables, coffee, cotton",MEX
Moldova,"foodstuffs, textiles, machinery",MDA
Mongolia,"copper, apparel, livestock, animal products, cashmere, wool, hides, fluorspar, other nonferrous metals, coal, crude oil",MNG
Montserrat,"electronic components, plastic bags, apparel; hot peppers, limes, live plants; cattle",MSR
Morocco,"clothing and textiles, electric components, inorganic chemicals, transistors, crude minerals, fertilizers (including phosphates), petroleum products, citrus fruits, vegetables, fish",MAR
Mozambique,"aluminum, prawns, cashews, cotton, sugar, citrus, timber; bulk electricity",MOZ
Namibia,"diamonds, copper, gold, zinc, lead, uranium; cattle, processed fish, karakul skins",NAM
Nauru,phosphates,NRU
Nepal,"clothing, pulses, carpets, textiles, juice, pashima, jute goods",NPL
Netherlands,"machinery and equipment, chemicals, fuels; foodstuffs",NLD
New Caledonia,"ferronickels, nickel ore, fish",NCL
New Zealand,"dairy products, meat, wood and wood products, fish, machinery",NZL
