country_name,country_code,capital_city,note,capital_type,city_code,lat,lon,population,iso
Myanmar,104,Nay Pyi Taw,,Capital,205588,19.745,96.12972,1015.699,MMR
Namibia,516,Windhoek,,Capital,21925,-22.55941,17.08323,356.389,NAM
Nauru,520,Nauru,,Capital,21926,-0.530801,166.911192,10.081,NRU
Nepal,524,Kathmandu,45,Capital,21928,27.70169,85.3206,1141.733,NPL
Netherlands,528,Amsterdam,,Capital,21930,52.37403,4.88969,1083.573,NLD
Netherlands,528,s-Gravenhage (The Hague),46,Seat of Government,205146,52.0767,4.2986,646.411,NLD
New Caledonia,540,NoumÃ©a,,Capital,21955,-22.27631,166.4572,181.002,NCL
New Zealand,554,Wellington,47,Capital,21962,-41.28664,174.77557,380.333,NZL
Nicaragua,558,Managua,,Capital,21967,12.13282,-86.2504,950.736,NIC
Niger,562,Niamey,,Capital,21972,13.51366,2.1098,1057.564,NER
Nigeria,566,Abuja,48,Capital,21976,9.05735,7.48976,2300.547,NGA
Niue,570,Alofi,,Capital,22025,-19.058498,-169.921281,0.546,
Northern Mariana Islands,580,Saipan,49,Capital,22031,15.21233,145.7545,48.681,MNP
Norway,578,Oslo,,Capital,22028,59.91273,10.74609,969.862,NOR
Oman,512,Masqat (Muscat),50,Capital,21922,23.61387,58.5922,812.324,OMN
Pakistan,586,Islamabad,,Capital,22042,33.70351,73.059373,1296.964,PAK
Palau,585,Koror,,Capital,22034,7.34257,134.47888,11.599,PLW
Panama,591,Ciudad de PanamÃ¡ (Panama City),51,Capital,22063,8.995816,-79.519572,1637.866,PAN
Papua New Guinea,598,Port Moresby,,Capital,22064,-9.44314,147.17972,338.069,PNG
Paraguay,600,AsunciÃ_n,52,Capital,22065,-25.30066,-57.63591,2307.329,PRY
Peru,604,Lima,53,Capital,22078,-12.04318,-77.02824,9722.071,PER
Philippines,608,Manila,54,Capital,22109,14.6042,120.9822,12763.753,PHL
Poland,616,Warszawa (Warsaw),,Capital,22161,52.22977,21.01178,1718.208,POL
